MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
G3O-33996-MONOMER	G3O-33996	P41930	SSU1	
G3O-30419-MONOMER	G3O-30419	P43557	Found in Mitochondrial Proteome	
G3O-29551-MONOMER	G3O-29551	Q12510	Changed Mutation Rate	
G3O-30803-MONOMER	G3O-30803	P53255	Debranching enzyme-associated RiboNuclease	
G3O-31943-MONOMER	G3O-31943	P34239	Lethal with Sec Thirteen	
MONOMER-18225			thiamine diphosphate kinase subunit 2	
G3O-32335-MONOMER	G3O-32335	Q05942	RiboSome Assembly	
YGR019W-MONOMER	YGR019W	P17649	4-aminobutyrate aminotransferase	
G3O-31228-MONOMER	G3O-31228	P38886	Regulatory Particle Non-ATPase	
G3O-28985-MONOMER	G3O-28985	P38167	ExtraCellular Mutant	
G3O-32777-MONOMER	G3O-32777	Q04779	RCO1	
YOR067C-MONOMER	YOR067C	P40351	(glucosyl)-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol glucosyltransferase	Dol-PP-GlcNAc2:Man9:Glc transferase
G3O-33182-MONOMER	G3O-33182	P53890	Bud Neck Involved	
G3O-29946-MONOMER	G3O-29946	P21595	DITyrosine	
G3O-29123-MONOMER	G3O-29123	P38297	FuZzy Onions homolog	
G3O-33578-MONOMER	G3O-33578	Q12398	High-copy Mep Suppressor	
G3O-31519-MONOMER	G3O-31519	P47043	Zinc-responsive Activator Protein	
G3O-33980-MONOMER	G3O-33980	Q02863	UBiquitin-specific Protease	
G3O-30402-MONOMER	G3O-30402	P43538	YFL066C	
G3O-29535-MONOMER	G3O-29535	P0CX85	Ribosomal Protein of the Large subunit	
G3O-30787-MONOMER	G3O-30787	Q00723	Pre-mRNA Processing	
G3O-31927-MONOMER	G3O-31927	P36054	Regulator of CalciNeurin	
G3O-34384-MONOMER	G3O-34384	P02381	VAR1	
G3O-32319-MONOMER	G3O-32319	Q05778	Proteasome Biogenesis-Associated	
YGL184C-MONOMER	YGL184C	P53101	cystathionine &beta;-lyase	
G3O-31212-MONOMER	G3O-31212	P38869	Sed5 Vesicle Protein	
G3O-28969-MONOMER	G3O-28969	P38182	AuTophaGy related	
G3O-32761-MONOMER	G3O-32761	P04710	ADP/ATP Carrier	
YOL061W-MONOMER	YOL061W	Q12265	phosphoribosylpyrophosphate synthetase	
G3O-33166-MONOMER	G3O-33166	P53904	ALpha-tubulin Foldin	
G3O-29930-MONOMER	G3O-29930	P02400	Ribosomal Protein P2 Beta	
G3O-29106-MONOMER	G3O-29106	P38283	Synthetically Lethal with Ipl1	
G3O-33562-MONOMER	G3O-33562	Q12351	Unknown	
G3O-31503-MONOMER	G3O-31503	P47056	Increased Recombination Centers	
G3O-33964-MONOMER	G3O-33964	Q02804	ADP-Ribosylation factor-Like	
G3O-30355-MONOMER	G3O-30355	P87275	Altered Inheritance rate of Mitochondria	
G3O-29519-MONOMER	G3O-29519	Q07540	frataxin	
G3O-30771-MONOMER	G3O-30771	P53235	YGR054W	
G3O-31911-MONOMER	G3O-31911	P36068	Swi5p-dependent HO Expression	
G3O-34367-MONOMER	G3O-34367	Q8TGQ7	YPR159C-A	
G3O-32303-MONOMER	G3O-32303	P14306	cdc25 (Twenty-Five) Suppressor	
YGL017W-MONOMER	YGL017W	P16639	arginyl-tRNA-protein transferase	
G3O-31196-MONOMER	G3O-31196	P38856	Yeast Assembly Polypeptide	
G3O-28953-MONOMER	G3O-28953	P34220	YBL055C	
G3O-32740-MONOMER	G3O-32740	P46972	Inner Membrane Protease	
YNL292W-MONOMER	YNL292W	P48567	pseudouridine synthase	
G3O-33149-MONOMER	G3O-33149	P53916	TEnsin-like Phosphatase	
G3O-29914-MONOMER	G3O-29914	P40968	Cell Division Cycle	
G3O-29090-MONOMER	G3O-29090	P38111	Mitosis Entry Checkpoint	
G3O-33546-MONOMER	G3O-33546	Q08299	ENteroBactin	
G3O-31487-MONOMER	G3O-31487	P47076	RNA Polymerase C	
G3O-33948-MONOMER	G3O-33948	Q03085	Suppressor of Rad53 null Lethality or Suppressor of Rad53 and Lcd1	
G3O-30339-MONOMER	G3O-30339	P40098	Found in Mitochondrial Proteome	
G3O-29503-MONOMER	G3O-29503	Q12154	Guided Entry of Tailanchored proteins	
G3O-30755-MONOMER	G3O-30755	P53220	Translocase of the Inner Mitochondrial membrane	
G3O-31895-MONOMER	G3O-31895	P14064	Heme Activator Protein	
G3O-34319-MONOMER	G3O-34319	Q06596	ARsenicals Resistance	
G3O-32287-MONOMER	G3O-32287	P54072	Unknown	
YFL017C-MONOMER	YFL017C	P43577	glucosamine-6-phosphate <i>N</i>-acetyltransferase subunit	
G3O-31180-MONOMER	G3O-31180	P38844	Daughter Specific Expression	
G3O-28937-MONOMER	G3O-28937	P38121	POLymerase	
G3O-32724-MONOMER	G3O-32724	Q04364	Unknown	
YNL135C-MONOMER	YNL135C	P20081	peptidyl-prolyl cis-trans isomerase (PPIase)	
G3O-33133-MONOMER	G3O-33133	P53929	Unknown	
G3O-29898-MONOMER	G3O-29898	P39003	HeXose Transporter	
G3O-29074-MONOMER	G3O-29074	P31244	RADiation sensitive	
G3O-33529-MONOMER	G3O-33529	Q08278	MEDiator complex	
G3O-31456-MONOMER	G3O-31456	Q02598	Unknown	
G3O-33932-MONOMER	G3O-33932	Q02608	Mitochondrial Ribosomal Protein, Small subunit	
G3O-30323-MONOMER	G3O-30323	P14736	RADiation sensitive	
G3O-29487-MONOMER	G3O-29487	Q07458	RXT3	
G3O-30739-MONOMER	G3O-30739	P40357	SECretory	
G3O-31879-MONOMER	G3O-31879	P36077	SulfiRedoXin	
G3O-34303-MONOMER	G3O-34303	P20053	Pre-mRNA Processing	
G3O-32271-MONOMER	G3O-32271	Q12220	DOM34 Interacting Protein	
YER061C-MONOMER	YER061C	P39525	beta-keto-acyl synthase homolog	
G3O-31164-MONOMER	G3O-31164	P38829	Cytosolic Iron-sulfur protein Assembly	
G3O-28921-MONOMER	G3O-28921	P32319	carboxyPEPtidase Y-deficient	
G3O-32707-MONOMER	G3O-32707	P39103	Cytochrome c OXidase	
YMR296C-MONOMER	YMR296C	P25045	serine palmitoyltransferase	
G3O-33117-MONOMER	G3O-33117	P06786	TOPoisomerase	
G3O-29882-MONOMER	G3O-29882	Q06680	Yeast Cap G	
G3O-29058-MONOMER	G3O-29058	P38254	P-BodY associated protein	
G3O-33513-MONOMER	G3O-33513	P22148	Multicopy suppressor of SNF1 mutation	
G3O-31438-MONOMER	G3O-31438	P40574	Yeast AP-1	
G3O-33913-MONOMER	G3O-33913	Q3E7Y8	Unknown	
G3O-30306-MONOMER	G3O-30306	P40088	Fe TRansporter	
G3O-29471-MONOMER	G3O-29471	Q07376	MonoCarboxylate transporter Homologue	
G3O-30723-MONOMER	G3O-30723	P32805	Five Zinc Fingers	
G3O-31863-MONOMER	G3O-31863	P35723	Yeast Endoplasmic reticulum Transmembrane protein	
G3O-34287-MONOMER	G3O-34287	Q06451	Transporter of POlyamines	
G3O-32255-MONOMER	G3O-32255	Q12090	Rna EXonuclease	
YEL046C-MONOMER	YEL046C	P37303	L-threonine aldolase subunit	
G3O-31148-MONOMER	G3O-31148	P38814	similar to SBE2	
G3O-28903-MONOMER	G3O-28903	Q8TGV0	Unknown	
G3O-32691-MONOMER	G3O-32691	Q03759	Unknown	
G3O-33101-MONOMER	G3O-33101	P53942	RNase H	
G3O-29866-MONOMER	G3O-29866	Q06644	PMT7	
G3O-29042-MONOMER	G3O-29042	P38086	RaD54 Homolog	
G3O-33497-MONOMER	G3O-33497	Q12496	YOL098C	
G3O-31422-MONOMER	G3O-31422	P40561	Slower Growth on Non-fermentable carbon sources	
G3O-33897-MONOMER	G3O-33897	Q3E769	Unknown	
G3O-30289-MONOMER	G3O-30289	P40078	Nop Seven Associated	
G3O-29455-MONOMER	G3O-29455	P32381	Actin-Related Protein	
G3O-30707-MONOMER	G3O-30707	P22224	SECretory	
G3O-31847-MONOMER	G3O-31847	P36091	Defective Cell Wall	
G3O-34271-MONOMER	G3O-34271	Q01454	Chromosome Transmission Fidelity	
G3O-32239-MONOMER	G3O-32239	P39012	GPI Anchor Attachment	
YDR436W-MONOMER	YDR436W	P33329	serine-threonine phosphatase Z	
G3O-31132-MONOMER	G3O-31132	P38803	Involved in Processing ITS2	
G3O-28880-MONOMER	G3O-28880	P39549	YAR029W	
G3O-32675-MONOMER	G3O-32675	Q04516	Altered Inheritance rate of Mitochondria	
YML115C-MONOMER	YML115C	P23642	mannosyltransferase	
G3O-33085-MONOMER	G3O-33085	P38590	Multicopy Suppressor of GPA1	
G3O-29850-MONOMER	G3O-29850	Q05530	Unknown	
G3O-29025-MONOMER	G3O-29025	P38079	Unknown	
G3O-33481-MONOMER	G3O-33481	Q08235	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog	
G3O-33849-MONOMER	G3O-33849	Q08910	Unknown	
G3O-30273-MONOMER	G3O-30273	P40068	FLOcculation	
G3O-29439-MONOMER	G3O-29439	Q12157	Anaphase Promoting Complex	
G3O-30691-MONOMER	G3O-30691	P35190	Cyclin-Like Gene	
G3O-31831-MONOMER	G3O-31831	P36103	Unknown	
G3O-34255-MONOMER	G3O-34255	Q06109	Required for Respiratory Growth	
G3O-32223-MONOMER	G3O-32223	P19263	Resistant to Glucose Repression	
YDR272W-MONOMER	YDR272W	Q05584		Glo2, GLX II
G3O-31116-MONOMER	G3O-31116	P38712	Ribosomal RNA Processing	
G3O-28862-MONOMER	G3O-28862	P39715	ExtraCellular Mutant	
G3O-32659-MONOMER	G3O-32659	P38987	TErmination of M phase	
YML019W-MONOMER	YML019W	Q03723	oligosaccharyl transferase complex OST6 subunit	
G3O-33069-MONOMER	G3O-33069	P53965	inositol pyrophosphate phosphatase	Synthetic Interaction with Whi2
G3O-29834-MONOMER	G3O-29834	P39010	AnKyrin Repeat-containing protein	
G3O-29009-MONOMER	G3O-29009	P10664	Ribosomal Protein of the Large subunit	
G3O-33464-MONOMER	G3O-33464	Q08223	Altered Inheritance rate of Mitochondria	
G3O-33833-MONOMER	G3O-33833	P52960	Peroxisome Induction Pathway	
G3O-30257-MONOMER	G3O-30257	P40059	Disruptor Of Telomeric silencing	
G3O-29422-MONOMER	G3O-29422	Q96VH2	Unknown	
G3O-30675-MONOMER	G3O-30675	P53096	Hda One Similar	
G3O-31815-MONOMER	G3O-31815	P36106	BYpass of ESS1	
G3O-34239-MONOMER	G3O-34239	Q06089	Unknown	
YDR111C-MONOMER	YDR111C	P52892	transaminase	
G3O-31100-MONOMER	G3O-31100	P34162	Suppressor of RNA polymerase B	
G3O-32210-MONOMER	G3O-32210	Q12202	Outer Spore Wall	
G3O-28846-MONOMER	G3O-28846	P39729	RiBosome interacting Gtpase	
G3O-32643-MONOMER	G3O-32643	P39682	Pre-mRNA Processing	
YLR316C-MONOMER	YLR316C	Q9URQ3	tRNA-specific adenosine deaminase subunit	
G3O-33053-MONOMER	G3O-33053	P53978	Homolog of EF-3	
G3O-29818-MONOMER	G3O-29818	P50108	MaNNosyltransferase	
G3O-33448-MONOMER	G3O-33448	Q08202	OverProducer of Inositol	
G3O-33817-MONOMER	G3O-33817	Q12182	Unknown	
G3O-30241-MONOMER	G3O-30241	P40043	Respiratory Growth Induced	
G3O-29392-MONOMER	G3O-29392	P25346	GlycerophosphoInosiTol	
G3O-30659-MONOMER	G3O-30659	P45818	Rescuer Of Kem1	
G3O-31769-MONOMER	G3O-31769	P0CE00	Maltose Permease Homolog	
G3O-34223-MONOMER	G3O-34223	Q06815	Mannose 6-phosphate Receptor Like	
YDL205C-MONOMER	YDL205C	P28789	porphobilinogen deaminase	
G3O-31084-MONOMER	G3O-31084	P08964	MYOsin	
G3O-32193-MONOMER	G3O-32193	Q12078	SMF3	
G3O-28830-MONOMER	G3O-28830	P31379	Unknown	
G3O-32624-MONOMER	G3O-32624	P12887	Uracil DNA N-Glycosylase	
YLR216C-MONOMER	YLR216C	P53691	cyclophilin 40	
G3O-29802-MONOMER	G3O-29802	Q04925	Unknown	
G3O-33035-MONOMER	G3O-33035	Q8TGS4	Unknown	
G3O-33432-MONOMER	G3O-33432	P22517	CalModulin dependent protein Kinase	
G3O-33801-MONOMER	G3O-33801	Q12502	Low Dye Binding	
G3O-30225-MONOMER	G3O-30225	P40031	SPOrulation	
G3O-29376-MONOMER	G3O-29376	P25644	Protein Associated with Topoisomerase II	
G3O-30643-MONOMER	G3O-30643	P53114	Negative regulation of URS Two	
G3O-31752-MONOMER	G3O-31752	P47167	MiniChromosome Maintenance	
G3O-34207-MONOMER	G3O-34207	P32855	SECretory	
G3O-29764-MONOMER	G3O-29764	Q03976	Ribosomal Small subunit of Mitochondria	
YDL078C-MONOMER	YDL078C	P32419	peroxisome malate dehydrogenase subunit	
G3O-31068-MONOMER	G3O-31068	P38756	Unknown	
G3O-32176-MONOMER	G3O-32176	P43132	BREfeldin A sensitivity	
G3O-32608-MONOMER	G3O-32608	P0CF17	Unknown	
YLR142W-MONOMER	YLR142W	P09368		Put1
G3O-29786-MONOMER	G3O-29786	Q03954	Spindle Pole Component	
G3O-32986-MONOMER	G3O-32986	P0CE85	seriPAUperin	
G3O-33415-MONOMER	G3O-33415	Q3E7Z1	Unknown	
G3O-30208-MONOMER	G3O-30208	Q04739	GALactose metabolism	
G3O-29360-MONOMER	G3O-29360	P25631	Unknown	
G3O-30627-MONOMER	G3O-30627	P53127	SNT2	
G3O-33788-MONOMER	G3O-33788	Q08773	Imitation SWitch subfamily	
G3O-31736-MONOMER	G3O-31736	P47150	Ribosomal Small subunit of Mitochondria	
G3O-34191-MONOMER	G3O-34191	Q12038	Suppressor of rho3	
G3O-29747-MONOMER	G3O-29747	Q03769	Epsin N-Terminal homology	
G3O-31052-MONOMER	G3O-31052	P17076	Ribosomal Protein of the Large subunit	
G3O-32160-MONOMER	G3O-32160	Q99208	Unknown	
YCR048W-MONOMER	YCR048W	P25628	acyl-CoA sterol acyltransferase	
G3O-32577-MONOMER	G3O-32577	P0CY03	Unknown	
YKR097W-MONOMER	YKR097W	P10963	phosphoenolpyruvate carboxylkinase	
G3O-32970-MONOMER	G3O-32970	Q04952	FKS3	
G3O-33376-MONOMER	G3O-33376	P53631	HeXose Transporter	
G3O-30192-MONOMER	G3O-30192	P40009	apyrase	
G3O-29344-MONOMER	G3O-29344	P25623	Suppressor of Yeast Profilin deletion	
G3O-30611-MONOMER	G3O-30611	P53135	Synthetically Lethal with Dpb11-1	
G3O-33772-MONOMER	G3O-33772	Q08742	thiosulfate&mdash;thiol sulfurtransferase	
G3O-31719-MONOMER	G3O-31719	P47136	BUD site selection	
G3O-34175-MONOMER	G3O-34175	Q12531	Unknown	
G3O-29730-MONOMER	G3O-29730	Q03899	YDR131C	
G3O-31036-MONOMER	G3O-31036	P33413	Degradation of URea	
G3O-32144-MONOMER	G3O-32144	P23900	fdp1 Suppressor	
YBR286W-MONOMER	YBR286W	P37302	aminopeptidase yscIII	
G3O-32513-MONOMER	G3O-32513	P53427	seriPAUperin family	
YKL148C-MONOMER	YKL148C	Q00711	succinate dehydrogenase flavoprotein	
G3O-32953-MONOMER	G3O-32953	P23796	Ribosylation of Initiator tRNA	
G3O-33360-MONOMER	G3O-33360	P53743	Eighteen S rRNA Factor 2	
G3O-30176-MONOMER	G3O-30176	P27895	Chromosome INstability	
G3O-29328-MONOMER	G3O-29328	P25371	ATP-Dependent Permease	
G3O-33756-MONOMER	G3O-33756	P38969	PeNTamidine resistance	
G3O-31703-MONOMER	G3O-31703	P47120	Ligand of eIF5A	
G3O-34159-MONOMER	G3O-34159	Q08990	Unknown	
G3O-30598-MONOMER	G3O-30598	P53146	Unconventional SNARE in the ER	
YJL002C-MONOMER	YJL002C	P41543	oligosaccharyl transferase complex &alpha; subunit	
G3O-29714-MONOMER	G3O-29714	Q04597	Unknown	
G3O-31019-MONOMER	G3O-31019	Q3E802	Unknown	
G3O-32128-MONOMER	G3O-32128	P10592	Stress-Seventy subfamily A	
YBR167C-MONOMER	YBR167C	P38291	ribonuclease P	
G3O-32497-MONOMER	G3O-32497	P33442	Ribosomal Protein of the Small subunit	
YKL026C-MONOMER	YKL026C	P36014	Glutathione peroxidase	
G3O-32937-MONOMER	G3O-32937	P38429	SIT4 protein phosphatase Associated Protein	
G3O-33344-MONOMER	G3O-33344	P50278	Suppressor Of Los1-1	
G3O-30160-MONOMER	G3O-30160	P00045	CYtochrome C	
G3O-29310-MONOMER	G3O-29310	P25586	contains KRR-R motif	
G3O-33740-MONOMER	G3O-33740	Q08673	Suppressor of Rad53 null Lethality	
G3O-31687-MONOMER	G3O-31687	P47113	BFA1	
G3O-34140-MONOMER	G3O-34140	Q12365	Bfr1p Binding Protein	
G3O-30582-MONOMER	G3O-30582	P53156	Unknown	
G3O-29697-MONOMER	G3O-29697	P52490	UBiquitin-Conjugating	
G3O-30949-MONOMER	G3O-30949	P53048	MALtose fermentation	
G3O-32110-MONOMER	G3O-32110	Q07798	SPOrulation	
YBR023C-MONOMER	YBR023C	P29465	chitin synthase 3	chitin synthase III, CSIII
G3O-32481-MONOMER	G3O-32481	O13563	Regulatory Particle Non-ATPase	
YJR103W-MONOMER	YJR103W	P38627	CTP synthase	
G3O-31393-MONOMER	G3O-31393	Q00578	Suppressor of Stem-Loop mutation	
G3O-32921-MONOMER	G3O-32921	Q04013	Yeast suppressor of HM mutant	
BCCP-BIOTIN			BCCP-biotin	AccB, [acetyl-CoA:carbon-dioxide ligase (ADP forming)]
G3O-33328-MONOMER	G3O-33328	P20095	Pre-mRNA Processing	
G3O-30142-MONOMER	G3O-30142	P39996	GlutaThione Transferase	
G3O-29294-MONOMER	G3O-29294	P25369	Las Seventeen Binding protein	
G3O-33724-MONOMER	G3O-33724	Q12056	ISU2 [Fe-s} cluster scaffold protein monomer	
G3O-31671-MONOMER	G3O-31671	Q02772	PETite colonies	
G3O-34124-MONOMER	G3O-34124	P09064	SUppressor of Initiator codon	
G3O-30566-MONOMER	G3O-30566	P06104	RADiation sensitive	
G3O-29681-MONOMER	G3O-29681	P38953	RADiation sensitive	
G3O-30933-MONOMER	G3O-30933	P00958	MEthionyl-tRNA Synthetase	
G3O-32071-MONOMER	G3O-32071	P69771	Doa4-Independent Degradation	
YBL033C-MONOMER	YBL033C	P38066	GTP cyclohydrolase II	
G3O-32464-MONOMER	G3O-32464	Q06053	tRNA-dihydrouridine<sup>47</sup> synthase [NAD(P)+]	tRNA-dihydrouridine synthase 3
YJL200C-MONOMER	YJL200C	P39533	aconitate hydratase	
G3O-31377-MONOMER	G3O-31377	P32597	SNF Two Homolog	
G3O-32905-MONOMER	G3O-32905	P32829	Meiotic REcombination	
G3O-33311-MONOMER	G3O-33311	P42835	EGT2	
G3O-30125-MONOMER	G3O-30125	Q2V2P7	Unknown	
G3O-29276-MONOMER	G3O-29276	P25565	Unknown	
G3O-33307-MONOMER	G3O-33307	P17260	Killer toxin REsistant	
G3O-30120-MONOMER	G3O-30120	Q3E6R4	Unknown	
G3O-29272-MONOMER	G3O-29272	Q3E762	Unknown	
G3O-33705-MONOMER	G3O-33705	Q08601	MetaCAspase	
G3O-31648-MONOMER	G3O-31648	P47083	M Phase Phosphoproteins	
G3O-34105-MONOMER	G3O-34105	Q08964	Unknown	
G3O-30546-MONOMER	G3O-30546	P14120	Ribosomal Protein of the Large subunit	
G3O-29662-MONOMER	G3O-29662	P32325	DumbBell Forming	
G3O-30914-MONOMER	G3O-30914	P50088	Stationary Phase Gene	
G3O-32052-MONOMER	G3O-32052	P36165	triacylglycerol lipase	
MONOMER3O-9140	G3O-3869	P42883		THIamine metabolism
G3O-32445-MONOMER	G3O-32445	P32915	SECretory	
YJL012C-MONOMER	YJL012C	P47075	polyphosphate synthetase	
G3O-31358-MONOMER	G3O-31358	P40489	XhoI site-Binding Protein	
G3O-32886-MONOMER	G3O-32886	P20437	CycLiN	
G3O-33291-MONOMER	G3O-33291	P48559	Yeast Protein Two	
G3O-30087-MONOMER	G3O-30087	Q6Q5X2	YDR034W-B	
G3O-29254-MONOMER	G3O-29254	Q3E776	Unknown	
G3O-33689-MONOMER	G3O-33689	Q08550	Meiotic Plaque Component	
G3O-31632-MONOMER	G3O-31632	P39531	ReCYcling	
G3O-34089-MONOMER	G3O-34089	Q08952	OXidation Resistance	
G3O-30530-MONOMER	G3O-30530	P38929	Plasma Membrane Calcium	
G3O-29646-MONOMER	G3O-29646	Q04341	Mitochondrial Intermembrane space Cysteine motif protein of 14 kDa	
G3O-30898-MONOMER	G3O-30898	P53306	GlycosylPhosphatidylInositol anchoring biosynthesis	
G3O-32036-MONOMER	G3O-32036	P36151	Unknown	
MONOMER3O-695	YBR036C	P35206	inositol phosphorylceramide mannosyltransferase regulatory subunit	
G3O-32429-MONOMER	G3O-32429	Q06488	Remodel the Structure of Chromatin	
YIL155C-MONOMER	YIL155C	P32191	glycerol-3-phosphate dehydrogenase	
G3O-31341-MONOMER	G3O-31341	P40509	COPI coatomer complex &epsilon; subunit	
